PIB per cápita en dólares (ajustados a dólares de 2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Banco Mundial (https://data.worldbank.org/indicator/NY.GDP.PCAP.KD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pais,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bangladesh,463,478,490,474,511,504,501,476,505,497,512,474,401,409,441,415,428,429,447,456,448,468,465,471,481,484,491,496,495,497,512,518,534,547,556,572,586,599,617,633,654,674,687,708,733,769,809,856,897,932,973,1024,1078,1130,1185,1248,1323,1395,1481,1582,1620
Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11667,11375,11802,12166,12694,13634,14171,13852,13133,13162,13598,13706,14358,14679,15137,15622,15049,14408,13538,13594,13814,14036,14535,15159,15657,15644,16277,15834,15905,16197,16369,16952,17914,18205,18240,17254,16784,16619,16505,16232,16188,16559,16950,17002,16803,16679,14329
Belarús,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2891,2855,2575,2374,2099,1886,1946,2177,2370,2462,2617,2755,2912,3139,3522,3880,4294,4685,5181,5204,5622,5938,6048,6111,6213,5967,5811,5965,6166,6265,6235
Bélgica,11734,12278,12866,13326,14119,14489,14846,15335,15915,16922,17849,18527,19432,20607,21480,20997,22145,22256,22867,23381,24393,24326,24477,24555,25161,25569,26026,26604,27772,28631,29442,29870,30205,29797,30664,31330,31682,32804,33377,34480,35675,35943,36393,36617,37761,38426,39148,40290,40152,39025,39778,39929,39976,39970,40421,41008,41318,41826,42404,43066,40425
Belice,1194,1218,1242,1268,1294,1318,1340,1364,1422,1455,1489,1515,1639,1698,1899,1938,1911,2007,2135,2258,2511,2480,2414,2296,2275,2235,2272,2447,2616,2885,3145,3440,3792,3962,3889,3814,3747,3741,3735,3915,4275,4353,4448,4736,4830,4809,4898,4828,4835,4729,4768,4730,4734,4667,4770,4805,4699,4705,4710,4713,3852
Benin,679,691,657,677,710,735,747,740,753,759,758,731,761,771,779,723,711,728,718,745,775,829,824,766,804,840,833,797,800,754,795,801,797,814,803,824,833,854,862,882,906,926,940,943,956,944,953,981,1001,996,989,990,1009,1052,1088,1077,1082,1113,1155,1202,1215
Bhután,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402,450,454,489,498,504,544,680,691,724,786,777,813,832,875,932,971,1005,1040,1097,1108,1176,1279,1353,1410,1489,1572,1840,1909,2018,2235,2387,2479,2501,2613,2753,2941,3041,3097,3238,2880
Bolivia,1293,1294,1340,1403,1429,1470,1543,1607,1708,1747,1800,1850,1955,2022,2037,2138,2187,2246,2242,2196,2121,2083,1960,1844,1803,1737,1657,1663,1676,1703,1744,1798,1789,1827,1873,1920,1964,2020,2080,2048,2059,2054,2066,2083,2131,2186,2251,2314,2415,2455,2514,2603,2693,2831,2939,3036,3119,3203,3291,3317,2986
Bosnia y Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619,769,1478,2001,2314,2531,2848,2913,3057,3172,3371,3502,3691,3910,4132,4028,4096,4185,4216,4391,4518,4730,4941,5150,5387,5578,5438
Botswana,358,373,389,403,421,436,454,471,509,573,653,798,977,1146,1204,1258,1341,1444,1588,1714,1849,1946,2110,2307,2419,2498,2602,2800,3219,3510,3624,3778,3783,3757,3798,3968,4100,4339,4260,4572,4569,4495,4684,4817,4860,4986,5295,5612,5838,5287,5642,5899,6089,6705,6896,6403,6729,6855,6973,7051,6305
